"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsstartwert","","Geschlecht","Alter","Netto-Haushaltseinkommen insgesamt","Höchster Bildungsabschluss bzw. berufliche Qualifikation","Dein Bundesland","Deine Postleitzahl",""," [Die Nutzung dieser urbanen AR-Anwendung wäre für mich nützlich.]"," [Ich stelle mir die Nutzung dieser AR-Anwendung in der Stadt angenehm vor.]"," [Die Nutzung dieser AR-Anwendung wird meine Lebensqualität in der Stadt verbessern.]"," [Durch die Nutzung dieser AR-Anwendung würde ich Zeit bei der Suche nach Informationen in der Stadt sparen.]"," [Die Nutzung von Augmented-Reality-Anwendungen wird für mich kompliziert sein. ]"," [Um sicherzustellen, dass Du die Fragen aufmerksam liest, wähle bitte bei der folgenden Aussage ""Stimme eher zu"" aus.]",""," [Es ist mir wichtig, den Erwartungen meiner Freunde hinsichtlich der Nutzung dieser urbanen AR-Anwendung zu entsprechen.]"," [Es ist mir wichtig, den Erwartungen von weiteren Personen in meinem Umfeld bei der Nutzung neuer Technologien wie Augmented-Reality-Anwendungen  zu entsprechen.]"," [Mein Umfeld ist der Meinung, dass es vorteilhaft wäre, wenn ich moderne Technologien wie Augmented-Reality-Anwendungen nutze.]"," [Ich glaube, dass ich in meinem Alltag genügend Gelegenheiten haben werde, diese AR-Anwendung sinnvoll zu nutzen.]"," [Ich habe die notwendigen Ressourcen (z.B. ein kompatibles Smartphone), um diese urbane AR-Anwendung zu nutzen.]"," [Ein einfacher Zugang zu Informationen über diese urbane AR-Anwendung würde mir die Verwendung erleichtern.]"," [Ich habe die erforderlichen Kenntnisse, um Augmented-Reality Anwendungen in meiner Stadt zu nutzen.]"," [Ich habe die Kontrolle darüber, Augmented-Reality-Anwendungen zu nutzen.]"," [Ich bin sicher, dass ich Augmented-Reality-Anwendungen nutzen kann, wenn ich möchte.]"," [Es ist einfach für mich, Augmented-Reality-Anwendungen in der Stadt zu nutzen.]"," [Ich beabsichtige, diese AR-Anwendung für Stadtinformationen in naher Zukunft zu nutzen, wenn sie verfügbar ist.]"
"196","1980-01-01 00:00:00","6","de","1352491878","6840011c-626e-5f9d-6ee3-a13706248d5b","Männlich","18-35","2000 - unter 3000 Euro","Abgeschlossene Berufsausbildung","Bayern","80995","0","Stimme ich eher zu","Trifft eher zu","Mäßige Verbesserung","Mäßige Zeitersparnis","Etwas kompliziert","Stimme eher zu","0","Trifft teilweise zu","Eher wichtig","Trifft teilweise zu","Trifft teilweise zu","Trifft vollständig zu","Wahrscheinlich","Grundlegende Kenntnisse","Weitgehende Kontrolle","Ziemlich sicher","Trifft teilweise zu","Beabsichtigt"
"197","1980-01-01 00:00:00","6","de","799860626","68400193-ee62-9e61-e59f-cf639c4d9ac8","Männlich","56-65","5000 Euro und mehr","Master-Abschluss","Bayern","82031","0","Stimme ich überhaupt nicht zu","Trifft eher nicht zu","Keine Verbesserung","Geringe Zeitersparnis","Kaum kompliziert","Stimme eher zu","0","Trifft eher nicht zu","Überhaupt nicht wichtig","Trifft überhaupt nicht zu","Trifft eher nicht zu","Trifft vollständig zu","Unwahrscheinlich","Gute Kenntnisse","Teilweise Kontrolle","Vollkommen sicher","Trifft vollständig  zu","Möglicherweise beabsichtigt"
"198","1980-01-01 00:00:00","6","de","2081691768","684001f8-93ba-79d0-cdef-baf6bbf2ccb4","Weiblich","46-55","3000 - unter 4000 Euro","Abgeschlossene Berufsausbildung","Bayern","80805","0","Stimme ich eher nicht zu","Überhaupt überhaupt nicht zu","Keine Verbesserung","Überhaupt keine Zeitersparnis","Kaum kompliziert","Stimme eher zu","0","Trifft überhaupt nicht zu","Überhaupt nicht wichtig","Trifft überhaupt nicht zu","Trifft überhaupt nicht zu","Trifft vollständig zu","Wenig wahrscheinlich","Grundlegende Kenntnisse","Vollständige Kontrolle","Ziemlich sicher","Trifft teilweise zu","Überhaupt nicht beabsichtigt"
"199","1980-01-01 00:00:00","6","de","2079250922","68400263-b274-014d-f918-dea5fc38d5cd","Männlich","46-55","3000 - unter 4000 Euro","Abgeschlossene Berufsausbildung","Bayern","81373","0","Stimme ich vollumfänglich zu","Trifft vollumfänglich zu","Sehr große Verbesserung","Sehr große Zeitersparnis","Kaum kompliziert","Stimme eher zu","0","Trifft vollkommen zu","Wichtig","Trifft vollständig zu","Trifft vollständig zu","Trifft vollständig zu","Sehr wahrscheinlich","Sehr gute Kenntnisse","Starke Kontrolle","Vollkommen sicher","Trifft vollständig  zu","Definitiv beabsichtigt"
"201","1980-01-01 00:00:00","6","de","1515061687","684010a1-a65f-a80c-d946-79bfc25e0b24","Männlich","46-55","Unter 1000 Euro","Abgeschlossene Berufsausbildung","Bayern","82024 ","0","Teils / Teils","Trifft eher nicht zu","Keine Verbesserung","Geringe Zeitersparnis","Extrem kompliziert","Stimme eher zu","0","Trifft kaum zu","Nicht wichtig","Trifft kaum zu","Trifft kaum zu","Trifft überhaupt nicht zu","Unwahrscheinlich","Überhaupt keine Kenntnisse","Sehr geringe Kontrolle","Sehr  unsicher","Trifft überhaupt nicht zu","Nicht beabsichtigt"
"205","1980-01-01 00:00:00","6","de","176794962","684026ba-7d3d-bfae-c747-094beff1563d","Männlich","18-35","3000 - unter 4000 Euro","Abgeschlossene Berufsausbildung","Bayern","80634","0","Stimme ich vollumfänglich zu","Trifft vollumfänglich zu","Sehr große Verbesserung","Sehr große Zeitersparnis","Überhaupt nicht kompliziert","Stimme eher zu","0","Trifft vollkommen zu","Extrem wichtig","Trifft vollständig zu","Trifft vollständig zu","Trifft vollständig zu","Sehr wahrscheinlich","Ausgezeichnete Kenntnisse","Vollständige Kontrolle","Vollkommen sicher","Trifft vollständig  zu","Definitiv beabsichtigt"
"207","1980-01-01 00:00:00","6","de","418474981","68402dc6-1274-dbcf-81e7-1175395a77ce","Weiblich","56-65","Unter 1000 Euro","Mittlere Reife","Bayern","81927","0","Stimme ich eher zu","Trifft eher zu","Mäßige Verbesserung","Deutliche Zeitersparnis","Ein wenig kompliziert","Stimme eher zu","0","Trifft teilweise zu","Eher wichtig","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Wahrscheinlich","Grundlegende Kenntnisse","Teilweise Kontrolle","Ziemlich sicher","Trifft teilweise zu","Eher beabsichtigt"
"208","1980-01-01 00:00:00","6","de","1444995221","6840373e-697c-1cb2-b26b-00b7b6372400","Männlich","46-55","3000 - unter 4000 Euro","Hauptschulabschluss","Bayern","85737","0","Stimme ich zu","Trifft zu","Deutliche Verbesserung","Deutliche Zeitersparnis","Kaum kompliziert","Stimme eher zu","0","Trifft zu","Eher wichtig","Trifft überwiegend zu","Trifft überwiegend zu","Trifft weitgehend zu","Wahrscheinlich","Gute Kenntnisse","Starke Kontrolle","Sehr sicher","Trifft weitgehend zu","Beabsichtigt"
"209","1980-01-01 00:00:00","6","de","1706002730","68403b1e-0542-4795-964c-42998017b09d","Weiblich","36-45","5000 Euro und mehr","Bachelor-Abschluss","Bayern","85649","0","Stimme ich vollumfänglich zu","Trifft weitgehend zu","Große Verbesserung","Sehr große Zeitersparnis","Etwas kompliziert","Stimme eher zu","0","Trifft kaum zu","Wenig wichtig","Trifft weitgehend zu","Trifft weitgehend zu","Trifft vollständig zu","Sehr wahrscheinlich","Geringe Kenntnisse","Starke Kontrolle","Vollkommen sicher","Trifft weitgehend zu","Definitiv beabsichtigt"
"211","1980-01-01 00:00:00","6","de","512789764","684041a5-9c35-3bd7-8ec9-6e19110e1650","Weiblich","18-35","2000 - unter 3000 Euro","Abitur","Bayern","81539","0","Stimme ich zu","Trifft zu","Deutliche Verbesserung","Mäßige Zeitersparnis","Kaum kompliziert","Stimme eher zu","0","Trifft teilweise zu","Eher wichtig","Trifft teilweise zu","Trifft überwiegend zu","Trifft vollständig zu","Wahrscheinlich","Gute Kenntnisse","Weitgehende Kontrolle","Sehr sicher","Trifft überwiegend zu","Beabsichtigt"
"212","1980-01-01 00:00:00","6","de","463892751","684041ce-ea70-241e-8dc5-659e5a1f0fdc","Männlich","36-45","5000 Euro und mehr","Master-Abschluss","Bayern","80686","0","Stimme ich vollumfänglich zu","Trifft vollumfänglich zu","Große Verbesserung","Große Zeitersparnis","Überhaupt nicht kompliziert","Stimme eher zu","0","Trifft zu","Sehr wichtig","Trifft weitgehend zu","Trifft vollständig zu","Trifft vollständig zu","Sehr wahrscheinlich","Ausgezeichnete Kenntnisse","Starke Kontrolle","Sehr sicher","Trifft weitgehend zu","Definitiv beabsichtigt"
"213","1980-01-01 00:00:00","6","de","210275373","6840476d-1773-d518-3d23-357a41c059ca","Männlich","66+","4000 - unter 5000 Euro","Master-Abschluss","Bayern","85469","0","Stimme ich eher zu","Trifft zu","Sehr große Verbesserung","Große Zeitersparnis","Kaum kompliziert","Stimme eher zu","0","Trifft kaum zu","Nicht wichtig","Trifft eher nicht zu","Trifft überwiegend zu","Trifft weitgehend zu","Eher wahrscheinlich","Sehr gute Kenntnisse","Weitgehende Kontrolle","Ziemlich sicher","Trifft überwiegend zu","Beabsichtigt"
"214","1980-01-01 00:00:00","6","de","1431439456","68404a6d-8a96-1f84-21a1-7f30d6a58d2c","Männlich","18-35","3000 - unter 4000 Euro","Mittlere Reife","Bayern","85764","0","Stimme ich eher zu","Trifft eher zu","Mäßige Verbesserung","Mäßige Zeitersparnis","Ein wenig kompliziert","Stimme eher zu","0","Trifft kaum zu","Eher wichtig","Trifft eher nicht zu","Trifft überhaupt nicht zu","Trifft vollständig zu","Wenig wahrscheinlich","Überhaupt keine Kenntnisse","Überhaupt keine Kontrolle","Überhaupt nicht sicher","Trifft überhaupt nicht zu","Möglicherweise beabsichtigt"
"217","1980-01-01 00:00:00","6","de","118843446","6840576f-211c-2044-7367-e82cf37ada2c","Weiblich","18-35","1000 - unter 2000 Euro","Abgeschlossene Berufsausbildung","Bayern","85635","0","Stimme ich eher zu","Trifft weitgehend zu","Deutliche Verbesserung","Deutliche Zeitersparnis","Ein wenig kompliziert","Stimme eher zu","0","Trifft überwiegend zu","Wichtig","Trifft überwiegend zu","Trifft teilweise zu","Trifft vollständig zu","Wahrscheinlich","Gute Kenntnisse","Weitgehende Kontrolle","Ziemlich sicher","Trifft überwiegend zu","Eher beabsichtigt"
"219","1980-01-01 00:00:00","6","de","1794018562","68405a8f-8811-7628-74c1-a61ca000df80","Weiblich","36-45","3000 - unter 4000 Euro","Abgeschlossene Berufsausbildung","Bayern","85774","0","Stimme ich eher zu","Trifft weitgehend zu","Mäßige Verbesserung","Mäßige Zeitersparnis","Etwas kompliziert","Stimme eher zu","0","Trifft teilweise zu","Wenig wichtig","Trifft eher nicht zu","Trifft teilweise zu","Trifft weitgehend zu","Sehr wahrscheinlich","Grundlegende Kenntnisse","Teilweise Kontrolle","Ziemlich sicher","Trifft überwiegend zu","Möglicherweise beabsichtigt"
"221","1980-01-01 00:00:00","6","de","1729533224","684067bb-72be-1c3a-092e-e67306764ace","Weiblich","46-55","5000 Euro und mehr","Bachelor-Abschluss","Bayern","81927","0","Stimme ich eher zu","Trifft eher zu","Geringe Verbesserung","Deutliche Zeitersparnis","Kaum kompliziert","Stimme eher zu","0","Trifft eher nicht zu","Überhaupt nicht wichtig","Trifft überwiegend zu","Trifft eher nicht zu","Trifft kaum zu","Sehr wahrscheinlich","Überhaupt keine Kenntnisse","Geringe Kontrolle","Ziemlich sicher","Trifft teilweise zu","Möglicherweise beabsichtigt"
"222","1980-01-01 00:00:00","6","de","1512350666","68406a60-6b90-6179-624e-10ebd44cec3f","Weiblich","36-45","2000 - unter 3000 Euro","Mittlere Reife","Bayern","80638","0","Stimme ich eher zu","Trifft zu","Große Verbesserung","Große Zeitersparnis","Ein wenig kompliziert","Stimme eher zu","0","Trifft teilweise zu","Eher wichtig","Trifft teilweise zu","Trifft teilweise zu","Trifft überwiegend zu","Unwahrscheinlich","Geringe Kenntnisse","Weitgehende Kontrolle","Ziemlich sicher","Trifft überwiegend zu","Möglicherweise beabsichtigt"
"223","1980-01-01 00:00:00","6","de","1763697011","68406f79-e4f4-4bcf-0c8c-40bcc9102b9f","Weiblich","56-65","3000 - unter 4000 Euro","Abgeschlossene Berufsausbildung","Bayern","81735","0","Teils / Teils","Trifft eher zu","Geringe Verbesserung","Geringe Zeitersparnis","Ein wenig kompliziert","Stimme eher zu","0","Trifft teilweise zu","Eher wichtig","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Wenig wahrscheinlich","Sehr geringe Kenntnisse","Sehr geringe Kontrolle","Wenig sicher","Trifft teilweise zu","Eher beabsichtigt"
"224","1980-01-01 00:00:00","6","de","776886844","684072c0-cbba-6bf6-f5f9-b93bd41a52cd","Männlich","36-45","2000 - unter 3000 Euro","Abgeschlossene Berufsausbildung","Bayern","82049","0","Stimme ich eher zu","Trifft eher zu","Mäßige Verbesserung","Mäßige Zeitersparnis","Ein wenig kompliziert","Stimme eher zu","0","Trifft zu","Wichtig","Trifft kaum zu","Trifft kaum zu","Trifft vollständig zu","Wahrscheinlich","Sehr gute Kenntnisse","Starke Kontrolle","Ziemlich sicher","Trifft vollständig  zu","Eher beabsichtigt"
"225","1980-01-01 00:00:00","6","de","846551544","68407609-3277-0e5d-268f-0f92b553a7b1","Weiblich","46-55","2000 - unter 3000 Euro","Mittlere Reife","Bayern","80339","0","Stimme ich eher zu","Trifft weitgehend zu","Deutliche Verbesserung","Deutliche Zeitersparnis","Kaum kompliziert","Stimme eher zu","0","Trifft teilweise zu","Eher wichtig","Trifft teilweise zu","Trifft überwiegend zu","Trifft überwiegend zu","Eher wahrscheinlich","Grundlegende Kenntnisse","Weitgehende Kontrolle","Ziemlich sicher","Trifft überwiegend zu","Beabsichtigt"
"226","1980-01-01 00:00:00","6","de","406249315","68407b18-af7e-7985-ee58-b7941ff02205","Männlich","36-45","3000 - unter 4000 Euro","Abitur","Bayern","80801","0","Stimme ich zu","Trifft vollumfänglich zu","Deutliche Verbesserung","Große Zeitersparnis","Extrem kompliziert","Stimme eher zu","0","Trifft überhaupt nicht zu","Wichtig","Trifft eher nicht zu","Trifft überhaupt nicht zu","Trifft überwiegend zu","Sehr wahrscheinlich","Geringe Kenntnisse","Überhaupt keine Kontrolle","Überhaupt nicht sicher","Trifft überhaupt nicht zu","Nicht beabsichtigt"
"227","1980-01-01 00:00:00","6","de","1707942722","68407d2b-197e-8a94-16c4-01c830211ea2","Weiblich","18-35","1000 - unter 2000 Euro","Hauptschulabschluss","Bayern","81929","0","Teils / Teils","Trifft eher zu","Mäßige Verbesserung","Deutliche Zeitersparnis","Ein wenig kompliziert","Stimme eher zu","0","Trifft überhaupt nicht zu","Wenig wichtig","Trifft kaum zu","Trifft eher nicht zu","Trifft kaum zu","Sehr unwahrscheinlich","Sehr geringe Kenntnisse","Geringe Kontrolle","Unsicher","Trifft eher nicht zu","Möglicherweise beabsichtigt"
"228","1980-01-01 00:00:00","6","de","384499362","68407f45-1664-955b-99c1-c9c343b744bd","Weiblich","56-65","2000 - unter 3000 Euro","Abgeschlossene Berufsausbildung","Bayern","80995","0","Stimme ich überhaupt nicht zu","Überhaupt überhaupt nicht zu","Keine Verbesserung","Überhaupt keine Zeitersparnis","Überhaupt nicht kompliziert","Stimme eher zu","0","Trifft überhaupt nicht zu","Überhaupt nicht wichtig","Trifft überhaupt nicht zu","Trifft überhaupt nicht zu","Trifft überhaupt nicht zu","Überhaupt nicht wahrscheinlich","Überhaupt keine Kenntnisse","Überhaupt keine Kontrolle","Überhaupt nicht sicher","Trifft überhaupt nicht zu","Überhaupt nicht beabsichtigt"
"229","1980-01-01 00:00:00","6","de","1022965764","684083be-c12c-dd18-f3b8-5c6249c4beb0","Weiblich","18-35","2000 - unter 3000 Euro","Bachelor-Abschluss","Bayern","80331","0","Stimme ich eher nicht zu","Trifft eher zu","Mäßige Verbesserung","Mäßige Zeitersparnis","Etwas kompliziert","Stimme eher zu","0","Trifft eher nicht zu","Eher wichtig","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Wenig wahrscheinlich","Grundlegende Kenntnisse","Geringe Kontrolle","Wenig sicher","Trifft teilweise zu","Eher nicht beabsichtigt"
"230","1980-01-01 00:00:00","6","de","230667419","684087aa-2a12-7c40-1772-ec2f81a5bd62","Weiblich","18-35","5000 Euro und mehr","Bachelor-Abschluss","Bayern","80807","0","Stimme ich eher zu","Trifft zu","Deutliche Verbesserung","Deutliche Zeitersparnis","Überhaupt nicht kompliziert","Stimme eher zu","0","Trifft eher nicht zu","Überhaupt nicht wichtig","Trifft teilweise zu","Trifft überwiegend zu","Trifft vollständig zu","Eher wahrscheinlich","Ausgezeichnete Kenntnisse","Vollständige Kontrolle","Vollkommen sicher","Trifft weitgehend zu","Beabsichtigt"
"233","1980-01-01 00:00:00","6","de","1968618518","6840919c-469f-3c35-4b75-b7f494613ce7","Weiblich","36-45","5000 Euro und mehr","Abgeschlossene Berufsausbildung","Bayern","81479","0","Stimme ich zu","Trifft zu","Deutliche Verbesserung","Große Zeitersparnis","Etwas kompliziert","Stimme eher zu","0","Trifft teilweise zu","Eher wichtig","Trifft vollständig zu","Trifft vollständig zu","Trifft teilweise zu","Eher wahrscheinlich","Gute Kenntnisse","Weitgehende Kontrolle","Sehr sicher","Trifft weitgehend zu","Definitiv beabsichtigt"
"238","1980-01-01 00:00:00","6","de","1133894657","68409972-b057-b3f6-1ceb-ab0fd94d86fc","Männlich","66+","1000 - unter 2000 Euro","Master-Abschluss","Bayern","81673","0","Teils / Teils","Trifft eher zu","Deutliche Verbesserung","Deutliche Zeitersparnis","Ein wenig kompliziert","Stimme eher zu","0","Trifft teilweise zu","Eher wichtig","Trifft teilweise zu","Trifft teilweise zu","Trifft überwiegend zu","Wahrscheinlich","Geringe Kenntnisse","Geringe Kontrolle","Wenig sicher","Trifft teilweise zu","Möglicherweise beabsichtigt"
"239","1980-01-01 00:00:00","6","de","988707167","68409a14-7ff6-30e9-bf39-19d911240a6c","Männlich","18-35","1000 - unter 2000 Euro","Abitur","Bayern","81829","0","Teils / Teils","Trifft eher zu","Geringe Verbesserung","Mäßige Zeitersparnis","Etwas kompliziert","Stimme eher zu","0","Trifft eher nicht zu","Wichtig","Trifft teilweise zu","Trifft überhaupt nicht zu","Trifft teilweise zu","Wenig wahrscheinlich","Grundlegende Kenntnisse","Teilweise Kontrolle","Sehr  unsicher","Trifft teilweise zu","Nicht beabsichtigt"
"242","1980-01-01 00:00:00","6","de","119695170","6840a1db-af72-bd9b-4b9f-4cf2a9e92606","Weiblich","36-45","3000 - unter 4000 Euro","Master-Abschluss","Bayern","81547","0","Stimme ich eher nicht zu","Trifft eher nicht zu","Geringe Verbesserung","Geringe Zeitersparnis","Kaum kompliziert","Stimme eher zu","0","Trifft überhaupt nicht zu","Überhaupt nicht wichtig","Trifft überhaupt nicht zu","Trifft eher nicht zu","Trifft vollständig zu","Wenig wahrscheinlich","Ausgezeichnete Kenntnisse","Starke Kontrolle","Sehr sicher","Trifft teilweise zu","Überhaupt nicht beabsichtigt"
"243","1980-01-01 00:00:00","6","de","1702003844","6840a285-433c-0bdf-08a7-edf5cae493f9","Weiblich","36-45","2000 - unter 3000 Euro","Hauptschulabschluss","Bayern","81735","0","Teils / Teils","Trifft eher zu","Mäßige Verbesserung","Mäßige Zeitersparnis","Kaum kompliziert","Stimme eher zu","0","Trifft überhaupt nicht zu","Überhaupt nicht wichtig","Trifft überhaupt nicht zu","Trifft teilweise zu","Trifft vollständig zu","Eher wahrscheinlich","Geringe Kenntnisse","Vollständige Kontrolle","Vollkommen sicher","Trifft überhaupt nicht zu","Möglicherweise beabsichtigt"
"244","1980-01-01 00:00:00","6","de","132546345","6840ac88-75dd-35f8-d146-5435d2781273","Weiblich","18-35","Unter 1000 Euro","Mittlere Reife","Bayern","81735","0","Teils / Teils","Trifft eher zu","Mäßige Verbesserung","Mäßige Zeitersparnis","Etwas kompliziert","Stimme eher zu","0","Trifft teilweise zu","Eher wichtig","Trifft teilweise zu","Trifft teilweise zu","Trifft teilweise zu","Wenig wahrscheinlich","Grundlegende Kenntnisse","Teilweise Kontrolle","Wenig sicher","Trifft teilweise zu","Möglicherweise beabsichtigt"
"245","1980-01-01 00:00:00","6","de","445674848","6840b12f-ee2a-5c00-7919-6d803180d58b","Männlich","18-35","2000 - unter 3000 Euro","Hauptschulabschluss","Bayern","81737","0","Teils / Teils","Trifft weitgehend zu","Deutliche Verbesserung","Mäßige Zeitersparnis","Ein wenig kompliziert","Stimme eher zu","0","Trifft eher nicht zu","Nicht wichtig","Trifft teilweise zu","Trifft teilweise zu","Trifft weitgehend zu","Eher wahrscheinlich","Überhaupt keine Kenntnisse","Teilweise Kontrolle","Ziemlich sicher","Trifft teilweise zu","Beabsichtigt"
"246","1980-01-01 00:00:00","6","de","1073015091","6840b3b0-5b95-e19d-1241-9afa3b00a475","Weiblich","18-35","3000 - unter 4000 Euro","Abgeschlossene Berufsausbildung","Bayern","81539","0","Stimme ich eher nicht zu","Trifft eher zu","Mäßige Verbesserung","Deutliche Zeitersparnis","Überhaupt nicht kompliziert","Stimme eher zu","0","Trifft überhaupt nicht zu","Überhaupt nicht wichtig","Trifft überhaupt nicht zu","Trifft teilweise zu","Trifft vollständig zu","Sehr wahrscheinlich","Ausgezeichnete Kenntnisse","Vollständige Kontrolle","Vollkommen sicher","Trifft vollständig  zu","Eher beabsichtigt"
"250","1980-01-01 00:00:00","6","de","1138746072","6840b4c1-1239-5f17-ebf9-bd3106f2f920","Männlich","36-45","2000 - unter 3000 Euro","Abgeschlossene Berufsausbildung","Bayern","80993","0","Stimme ich nicht zu","Trifft eher nicht zu","Geringe Verbesserung","Sehr geringe Zeitersparnis","Ein wenig kompliziert","Stimme eher zu","0","Trifft kaum zu","Wenig wichtig","Trifft eher nicht zu","Trifft eher nicht zu","Trifft vollständig zu","Unwahrscheinlich","Grundlegende Kenntnisse","Teilweise Kontrolle","Unsicher","Trifft eher nicht zu","Eher nicht beabsichtigt"
"251","1980-01-01 00:00:00","6","de","848884339","6840b521-ef0d-53ad-f141-dcea97723c00","Männlich","18-35","4000 - unter 5000 Euro","Abgeschlossene Berufsausbildung","Bayern","80339","0","Stimme ich zu","Trifft weitgehend zu","Deutliche Verbesserung","Deutliche Zeitersparnis","Kaum kompliziert","Stimme eher zu","0","Trifft zu","Wichtig","Trifft weitgehend zu","Trifft überwiegend zu","Trifft weitgehend zu","Eher wahrscheinlich","Gute Kenntnisse","Geringe Kontrolle","Ziemlich sicher","Trifft weitgehend zu","Eher beabsichtigt"
"253","1980-01-01 00:00:00","6","de","870314056","6840be45-0fa3-cf86-30b5-1660e8ec7acf","Männlich","46-55","2000 - unter 3000 Euro","Bachelor-Abschluss","Bayern","80809","0","Stimme ich nicht zu","Trifft eher nicht zu","Mäßige Verbesserung","Geringe Zeitersparnis","Ein wenig kompliziert","Stimme eher zu","0","Trifft teilweise zu","Wenig wichtig","Trifft teilweise zu","Trifft teilweise zu","Trifft kaum zu","Unwahrscheinlich","Grundlegende Kenntnisse","Teilweise Kontrolle","Ziemlich sicher","Trifft teilweise zu","Eher nicht beabsichtigt"
"256","1980-01-01 00:00:00","6","de","504255215","6840d2df-3fa6-2fc9-b8e9-dc06a20ba084","Weiblich","18-35","Unter 1000 Euro","Mittlere Reife","Bayern","85551","0","Stimme ich eher zu","Trifft weitgehend zu","Deutliche Verbesserung","Mäßige Zeitersparnis","Kaum kompliziert","Stimme eher zu","0","Trifft kaum zu","Wichtig","Trifft überwiegend zu","Trifft teilweise zu","Trifft teilweise zu","Eher wahrscheinlich","Geringe Kenntnisse","Starke Kontrolle","Ziemlich sicher","Trifft teilweise zu","Eher beabsichtigt"
"260","1980-01-01 00:00:00","6","de","1475843979","6840fda3-99bd-6bd4-52c1-d91ba032405d","Männlich","46-55","4000 - unter 5000 Euro","Mittlere Reife","Bayern","80933","0","Stimme ich eher nicht zu","Trifft weitgehend zu","Deutliche Verbesserung","Mäßige Zeitersparnis","Etwas kompliziert","Stimme eher zu","0","Trifft teilweise zu","Wichtig","Trifft weitgehend zu","Trifft überwiegend zu","Trifft vollständig zu","Wahrscheinlich","Überhaupt keine Kenntnisse","Teilweise Kontrolle","Wenig sicher","Trifft teilweise zu","Eher beabsichtigt"
"261","1980-01-01 00:00:00","6","de","1171470096","68410aef-19e7-0e25-cd04-3a11465b2d86","Männlich","18-35","5000 Euro und mehr","Master-Abschluss","Bayern","80992","0","Stimme ich vollumfänglich zu","Trifft vollumfänglich zu","Sehr große Verbesserung","Sehr große Zeitersparnis","Überhaupt nicht kompliziert","Stimme eher zu","0","Trifft vollkommen zu","Extrem wichtig","Trifft vollständig zu","Trifft teilweise zu","Trifft vollständig zu","Sehr wahrscheinlich","Ausgezeichnete Kenntnisse","Vollständige Kontrolle","Vollkommen sicher","Trifft vollständig  zu","Definitiv beabsichtigt"
"262","1980-01-01 00:00:00","6","de","1832471404","68411ec9-0561-b58a-d1e5-92d371171c52","Männlich","18-35","1000 - unter 2000 Euro","Hauptschulabschluss","Bayern","81539","0","Stimme ich eher zu","Trifft zu","Deutliche Verbesserung","Deutliche Zeitersparnis","Ein wenig kompliziert","Stimme eher zu","0","Trifft kaum zu","Wichtig","Trifft überwiegend zu","Trifft überwiegend zu","Trifft teilweise zu","Wenig wahrscheinlich","Gute Kenntnisse","Weitgehende Kontrolle","Ziemlich sicher","Trifft weitgehend zu","Beabsichtigt"
"264","1980-01-01 00:00:00","6","de","405209127","684120d4-6e7d-1f39-41a1-4a551444ffeb","Männlich","56-65","3000 - unter 4000 Euro","Bachelor-Abschluss","Bayern","81929","0","Stimme ich vollumfänglich zu","Trifft vollumfänglich zu","Sehr große Verbesserung","Sehr große Zeitersparnis","Kaum kompliziert","Stimme eher zu","0","Trifft vollkommen zu","Wichtig","Trifft überwiegend zu","Trifft vollständig zu","Trifft überwiegend zu","Eher wahrscheinlich","Sehr gute Kenntnisse","Vollständige Kontrolle","Sehr sicher","Trifft vollständig  zu","Definitiv beabsichtigt"
"266","1980-01-01 00:00:00","6","de","1527743479","684126d1-a7af-0e31-fd82-0b50896ffad0","Weiblich","18-35","1000 - unter 2000 Euro","Abgeschlossene Berufsausbildung","Bayern","80999","0","Stimme ich eher zu","Trifft zu","Deutliche Verbesserung","Große Zeitersparnis","Etwas kompliziert","Stimme eher zu","0","Trifft überwiegend zu","Eher wichtig","Trifft vollständig zu","Trifft weitgehend zu","Trifft weitgehend zu","Sehr wahrscheinlich","Sehr gute Kenntnisse","Starke Kontrolle","Ziemlich sicher","Trifft überwiegend zu","Eher beabsichtigt"
"267","1980-01-01 00:00:00","6","de","1746287925","68412ddc-b505-c596-5ede-eb172fda1bb8","Weiblich","46-55","4000 - unter 5000 Euro","Abgeschlossene Berufsausbildung","Bayern","81549","0","Stimme ich nicht zu","Trifft eher zu","Geringe Verbesserung","Mäßige Zeitersparnis","Etwas kompliziert","Stimme eher zu","0","Trifft eher nicht zu","Überhaupt nicht wichtig","Trifft teilweise zu","Trifft teilweise zu","Trifft weitgehend zu","Eher wahrscheinlich","Überhaupt keine Kenntnisse","Teilweise Kontrolle","Unsicher","Trifft teilweise zu","Möglicherweise beabsichtigt"
"269","1980-01-01 00:00:00","6","de","1025633413","6841351c-e2cd-6527-376d-d9bcefaf55eb","Weiblich","18-35","1000 - unter 2000 Euro","Abgeschlossene Berufsausbildung","Bayern","80638","0","Teils / Teils","Trifft weitgehend zu","Deutliche Verbesserung","Große Zeitersparnis","Ein wenig kompliziert","Stimme eher zu","0","Trifft kaum zu","Wichtig","Trifft überwiegend zu","Trifft überwiegend zu","Trifft eher nicht zu","Wahrscheinlich","Geringe Kenntnisse","Teilweise Kontrolle","Ziemlich sicher","Trifft überwiegend zu","Beabsichtigt"
